"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C6,C11,C14","6","0.1u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C4,C7","2","1u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5,C26","2","1u","","","","","~"
"C8,C9,C12,C13,C25","5","10u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C10,C17","2","0.1u","","","","Resistor_SMD:R_0201_0603Metric","~"
"C15,C29","2","0.1u","","","","","~"
"C16,C24","2","2.2u","","","","LED_SMD:LED_0201_0603Metric","~"
"C18,C19,C20,C22,C23","5","0.1uf","","","","","~"
"C21","1","1.0uf","","","","","~"
"C27,C28","2","10u","","","","","~"
"Cff1,Cff2","2","22p","","","","Capacitor_SMD:C_0201_0603Metric","~"
"D1","1","BAT54J","","","","DIODE_SOD-523_DIO","ZLLS350TA"
"D2","1","Zener - 1A, 40V","","","","DIODE_SOD-523_DIO","ZLLS350TA"
"D5,D6,D7,D8,D10","5","LED","","","","","~"
"D9","1","BZX84C7V5,LED","","","","","~"
"J1","1","Screw_Terminal_01x03","","","","","~"
"J3,J4","2","Screw_Terminal_01x04","","","","","~"
"JP1,JP3","2","Jumper_3_Open","","Excluded from BOM","","","~"
"JP2,JP4,JP5","3","Jumper_2_Open","","","","","~"
"L1","1","4.7u","","","","L1 Senior Design:IND_IHLP-5050CE_VIS","~"
"Q1,Q2","2","Si7617DN","","","","Package_SO:Vishay_PowerPAK_1212-8_Single","https://www.vishay.com/docs/65164/si7617dn.pdf"
"Q3,Q4","2","SIS412DN","","","","Q3/4 Senior Design:POWERPAK_1212-8","https://www.vishay.com/docs/69006/sis412dn_new.pdf"
"Q5,Q6","2","TP0610L","","","","Package_TO_SOT_THT:TO-92L_Inline","http://www.vishay.com/docs/70209/70209.pdf"
"Q7,Q8,Q9","3","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R1","1","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2","1","107k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3","1","32.4k","","","","","~"
"R4,R7,R8,R15,R19,R23,R25,R26","8","100k","","","","","~"
"R5,R22,R27","3","10k","","","","","~"
"R6,R24,R28,R29,R30,R31","6","2.21k","","","","","~"
"R9,R10","2","R","","","","Resistor_SMD:R_0201_0603Metric","~"
"R11","1","0","","","","Resistor_SMD:R_0201_0603Metric","~"
"R12","1","1k","","","","","~"
"R13,R33,R34,R36","4","0","","","","","~"
"R14,R16","2","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R17","1","10","","","","Resistor_SMD:R_0201_0603Metric","~"
"R18","1","1k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R20,R32","2","2","","","","Resistor_SMD:R_0201_0603Metric","~"
"R21","1","22.1k","","","","","~"
"R35","1","10","","","","","~"
"RAC1,RSR1","2","0.01","","","","Resistor_SMD:R_0201_0603Metric","~"
"TP1","1","CHGEN","","","","","~"
"TP2","1","VCC","","","","","~"
"TP3","1","GND","","","","","~"
"TP4","1","VREF","","","","","~"
"TP5","1","REGN","","","","","~"
"TP6","1","PG","","","","","~"
"TP7","1","STAT1","","","","","~"
"TP8","1","STAT2","","","","","~"
"TP9","1","BATDRV","","","","","~"
"TP10","1","ACDRV","","","","","~"
"TP11","1","ACSET","","","","","~"
"TP12","1","ISET1","","","","","~"
"TP13","1","ISET2","","","","","~"
"TP14","1","TS","","","","","~"
"TP15","1","TTC","","","","","~"
"TP16","1","TP13","","","","","~"
"U1","1","BQ24610","","","","Package_DFN_QFN:VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm","https://www.ti.com/lit/ds/symlink/bq24610.pdf"
